correct 	2.7secs 	What is 1 / 1? 	== 	1 	RunAve=runAve: 19/25 76% 	Sat Jan 09 2021 20:59:01 GMT-0600 (Central Standard Time)
correct 	11.1secs 	What is 4 * 10? 	== 	40 	RunAve=runAve: 19/25 76% 	Sat Jan 09 2021 20:59:30 GMT-0600 (Central Standard Time)
correct 	7.7secs 	What is -6 / -3? 	== 	2 	RunAve=runAve: 19/25 76% 	Sat Jan 09 2021 20:59:46 GMT-0600 (Central Standard Time)
correct 	6.6secs 	What is 12 * 5? 	== 	60 	RunAve=runAve: 20/25 80% 	Sat Jan 09 2021 21:00:05 GMT-0600 (Central Standard Time)
correct 	2.1secs 	What is 11 * 6? 	== 	66 	RunAve=runAve: 21/25 84% 	Sat Jan 09 2021 21:00:21 GMT-0600 (Central Standard Time)
correct 	3.7secs 	What is 10 * 10? 	== 	100 	RunAve=runAve: 21/25 84% 	Sat Jan 09 2021 21:00:42 GMT-0600 (Central Standard Time)
wrong 	24.0secs 	What is 5 * 6? 	!= 	40 	RunAve=runAve: 21/25 84% 	Sat Jan 09 2021 21:01:23 GMT-0600 (Central Standard Time)
wrong 	3.8secs 	What is 5 * 4? 	!= 	30 	RunAve=runAve: 20/25 80% 	Sat Jan 09 2021 21:01:42 GMT-0600 (Central Standard Time)
correct 	7.7secs 	What is 5 * 5? 	== 	25 	RunAve=runAve: 20/25 80% 	Sat Jan 09 2021 21:02:06 GMT-0600 (Central Standard Time)
correct 	2.0secs 	What is 5 * 6? 	== 	30 	RunAve=runAve: 21/25 84% 	Sat Jan 09 2021 21:02:21 GMT-0600 (Central Standard Time)
correct 	2.4secs 	What is 3 * 2? 	== 	6 	RunAve=runAve: 21/25 84% 	Sat Jan 09 2021 21:02:41 GMT-0600 (Central Standard Time)
correct 	1.6secs 	What is 5 * 2? 	== 	10 	RunAve=runAve: 22/25 88% 	Sat Jan 09 2021 21:03:00 GMT-0600 (Central Standard Time)
correct 	2.6secs 	What is 5 * 3? 	== 	15 	RunAve=runAve: 22/25 88% 	Sat Jan 09 2021 21:03:21 GMT-0600 (Central Standard Time)
correct 	15.4secs 	What is 5 * 4? 	== 	20 	RunAve=runAve: 22/25 88% 	Sat Jan 09 2021 21:03:54 GMT-0600 (Central Standard Time)
correct 	12.1secs 	What is 5 * -11? 	== 	-55 	RunAve=runAve: 23/25 92% 	Sat Jan 09 2021 21:04:11 GMT-0600 (Central Standard Time)
correct 	5.0secs 	What is 10 * 6? 	== 	60 	RunAve=runAve: 23/25 92% 	Sat Jan 09 2021 21:04:24 GMT-0600 (Central Standard Time)
correct 	4.3secs 	What is 10 * 5? 	== 	50 	RunAve=runAve: 23/25 92% 	Sat Jan 09 2021 21:04:43 GMT-0600 (Central Standard Time)
wrong 	0.2secs 	What is 0 + 8? 	!= 	7 	RunAve=runAve: 22/25 88% 	Sat Jan 09 2021 21:04:59 GMT-0600 (Central Standard Time)
correct 	5.4secs 	What is 0 + 6? 	== 	6 	RunAve=runAve: 22/25 88% 	Sat Jan 09 2021 21:05:24 GMT-0600 (Central Standard Time)
