correct 	spelling 	4.0secs 	mount 	mo___ 	== 	__unt 	RunAve=runAve spelling: 16/25 64% 7.5secs 	Sat Jan 16 2021 12:12:12 GMT-0600 (Central Standard Time)
correct 	spelling 	14.2secs 	count 	c____ 	== 	_ount 	RunAve=runAve spelling: 17/25 68% 7.4secs 	Sat Jan 16 2021 12:12:42 GMT-0600 (Central Standard Time)
wrong 	spelling 	2.3secs 	county 	c_____ 	!= 	_uonty 	RunAve=runAve spelling: 17/25 68% 6.9secs 	Sat Jan 16 2021 12:12:51 GMT-0600 (Central Standard Time)
correct 	spelling 	3.1secs 	bounty 	b_____ 	== 	_ounty 	RunAve=runAve spelling: 17/25 68% 7.0secs 	Sat Jan 16 2021 12:13:11 GMT-0600 (Central Standard Time)
correct 	spelling 	45.0secs 	county5 	count_ 	== 	_____y 	RunAve=runAve spelling: 18/25 72% 8.8secs 	Sat Jan 16 2021 12:14:13 GMT-0600 (Central Standard Time)
correct 	spelling 	2.5secs 	mount 	m____ 	== 	_ount 	RunAve=runAve spelling: 19/25 76% 8.6secs 	Sat Jan 16 2021 12:14:31 GMT-0600 (Central Standard Time)
correct 	spelling 	2.7secs 	count 	c____ 	== 	_ount 	RunAve=runAve spelling: 20/25 80% 8.6secs 	Sat Jan 16 2021 12:14:51 GMT-0600 (Central Standard Time)
correct 	spelling 	3.3secs 	county 	c_____ 	== 	_ounty 	RunAve=runAve spelling: 20/25 80% 8.6secs 	Sat Jan 16 2021 12:15:12 GMT-0600 (Central Standard Time)
correct 	spelling 	6.2secs 	bounty 	b_____ 	== 	_ounty 	RunAve=runAve spelling: 21/25 84% 8.6secs 	Sat Jan 16 2021 12:15:35 GMT-0600 (Central Standard Time)
wrong 	spelling 	5.1secs 	pickle 	p_____ 	!= 	_icklo 	RunAve=runAve spelling: 20/25 80% 8.3secs 	Sat Jan 16 2021 12:15:54 GMT-0600 (Central Standard Time)
wrong 	spelling 	3.7secs 	pickle5 	pickl_ 	!= 	_____o 	RunAve=runAve spelling: 19/25 76% 8.3secs 	Sat Jan 16 2021 12:16:12 GMT-0600 (Central Standard Time)
correct 	spelling 	7.3secs 	pickle5 	pickl_ 	== 	_____e 	RunAve=runAve spelling: 19/25 76% 8.6secs 	Sat Jan 16 2021 12:16:36 GMT-0600 (Central Standard Time)
wrong 	spelling 	0.6secs 	pickle 	pic___ 	!= 	___lee 	RunAve=runAve spelling: 18/25 72% 7.2secs 	Sat Jan 16 2021 12:16:49 GMT-0600 (Central Standard Time)
wrong 	spelling 	15.8secs 	tickle 	ti____ 	!= 	__klle 	RunAve=runAve spelling: 17/25 68% 7.6secs 	Sat Jan 16 2021 12:17:24 GMT-0600 (Central Standard Time)
wrong 	spelling 	19.1secs 	trickle 	t______ 	!= 	_icklee 	RunAve=runAve spelling: 17/25 68% 7.2secs 	Sat Jan 16 2021 12:17:48 GMT-0600 (Central Standard Time)
correct 	spelling 	27.6secs 	fickle 	f_____ 	== 	_ickle 	RunAve=runAve spelling: 17/25 68% 8.3secs 	Sat Jan 16 2021 12:18:16 GMT-0600 (Central Standard Time)
correct 	spelling 	23.6secs 	trickle6 	trickl_ 	== 	______e 	RunAve=runAve spelling: 17/25 68% 8.9secs 	Sat Jan 16 2021 12:18:52 GMT-0600 (Central Standard Time)
correct 	spelling 	3.0secs 	pickle 	pic___ 	== 	___kle 	RunAve=runAve spelling: 17/25 68% 9.0secs 	Sat Jan 16 2021 12:19:11 GMT-0600 (Central Standard Time)
correct 	spelling 	8.1secs 	tickle 	t_____ 	== 	_ickle 	RunAve=runAve spelling: 18/25 72% 9.0secs 	Sat Jan 16 2021 12:19:37 GMT-0600 (Central Standard Time)
correct 	spelling 	2.4secs 	trickle 	tri____ 	== 	___ckle 	RunAve=runAve spelling: 18/25 72% 9.0secs 	Sat Jan 16 2021 12:19:51 GMT-0600 (Central Standard Time)
correct 	math 	1.5secs 	10 + 10 	What is 10 + 10? 	== 	20 	RunAve=runAve math: 11/12 91% 5.8secs 	Sat Jan 16 2021 12:20:10 GMT-0600 (Central Standard Time)
correct 	math 	4.5secs 	4 + 12 	What is 4 + 12? 	== 	16 	RunAve=runAve math: 12/13 92% 5.7secs 	Sat Jan 16 2021 12:20:33 GMT-0600 (Central Standard Time)
correct 	math 	2.2secs 	3 + -9 	What is 3 + -9? 	== 	-6 	RunAve=runAve math: 13/14 92% 5.4secs 	Sat Jan 16 2021 12:20:51 GMT-0600 (Central Standard Time)
correct 	spelling 	1.9secs 	bloom 	b____ 	== 	_loom 	RunAve=runAve spelling: 18/25 72% 8.7secs 	Sat Jan 16 2021 12:21:10 GMT-0600 (Central Standard Time)
wrong 	math 	2.1secs 	-1 + 3 	What is -1 + 3? 	!= 	null 	RunAve=runAve math: 13/15 86% 5.2secs 	Sat Jan 16 2021 12:21:51 GMT-0600 (Central Standard Time)
correct 	math 	1.8secs 	-1 + 1 	What is -1 + 1? 	== 	0 	RunAve=runAve math: 14/16 87% 5.0secs 	Sat Jan 16 2021 12:22:10 GMT-0600 (Central Standard Time)
correct 	math 	12.7secs 	-1 + 2 	What is -1 + 2? 	== 	1 	RunAve=runAve math: 15/17 88% 5.4secs 	Sat Jan 16 2021 12:22:41 GMT-0600 (Central Standard Time)
wrong 	math 	2.4secs 	-1 + 3 	What is -1 + 3? 	!= 	null 	RunAve=runAve math: 15/18 83% 5.3secs 	Sat Jan 16 2021 12:22:51 GMT-0600 (Central Standard Time)
