wrong 	Fri Jan 08 2021 13:23:35 GMT-0600 (Central Standard Time) 	8061 	What is 0 - -11? 	!= 14
correct 	2.1secs 	What is 45 / 9? 	== 	5 	RunAve=runAve: 23/25 92% 	Sat Jan 09 2021 20:22:13 GMT-0600 (Central Standard Time)
wrong 	5.3secs 	What is -2 - 6? 	!= 	-4 	RunAve=runAve: 22/25 88% 	Sat Jan 09 2021 20:22:36 GMT-0600 (Central Standard Time)
correct 	1.8secs 	What is -2 - 4? 	== 	-6 	RunAve=runAve: 23/25 92% 	Sat Jan 09 2021 20:22:53 GMT-0600 (Central Standard Time)
correct 	1.3secs 	What is -2 - 5? 	== 	-7 	RunAve=runAve: 24/25 96% 	Sat Jan 09 2021 20:23:12 GMT-0600 (Central Standard Time)
correct 	2.4secs 	What is -2 - 6? 	== 	-8 	RunAve=runAve: 24/25 96% 	Sat Jan 09 2021 20:23:33 GMT-0600 (Central Standard Time)
correct 	1.1secs 	What is 5 * 8? 	== 	40 	RunAve=runAve: 24/25 96% 	Sat Jan 09 2021 20:23:52 GMT-0600 (Central Standard Time)
correct 	8.2secs 	What is 9 * 6? 	== 	54 	RunAve=runAve: 24/25 96% 	Sat Jan 09 2021 20:24:19 GMT-0600 (Central Standard Time)
correct 	4.5secs 	What is 8 + 4? 	== 	12 	RunAve=runAve: 24/25 96% 	Sat Jan 09 2021 20:24:36 GMT-0600 (Central Standard Time)
correct 	2.0secs 	What is 12 * 0? 	== 	0 	RunAve=runAve: 24/25 96% 	Sat Jan 09 2021 20:24:53 GMT-0600 (Central Standard Time)
correct 	2.0secs 	What is 5 * 10? 	== 	50 	RunAve=runAve: 24/25 96% 	Sat Jan 09 2021 20:25:13 GMT-0600 (Central Standard Time)
correct 	3.2secs 	What is 6 + 9? 	== 	15 	RunAve=runAve: 24/25 96% 	Sat Jan 09 2021 20:25:34 GMT-0600 (Central Standard Time)
correct 	2.7secs 	What is -66 / -6? 	== 	11 	RunAve=runAve: 24/25 96% 	Sat Jan 09 2021 20:25:54 GMT-0600 (Central Standard Time)
correct 	2.6secs 	What is 12 + 0? 	== 	12 	RunAve=runAve: 24/25 96% 	Sat Jan 09 2021 20:26:14 GMT-0600 (Central Standard Time)
correct 	1.9secs 	What is 6 * 4? 	== 	24 	RunAve=runAve: 24/25 96% 	Sat Jan 09 2021 20:26:33 GMT-0600 (Central Standard Time)
correct 	2.4secs 	What is 8 * 1? 	== 	8 	RunAve=runAve: 24/25 96% 	Sat Jan 09 2021 20:26:53 GMT-0600 (Central Standard Time)
correct 	1.8secs 	What is 2 * 3? 	== 	6 	RunAve=runAve: 24/25 96% 	Sat Jan 09 2021 20:27:13 GMT-0600 (Central Standard Time)
correct 	3.1secs 	What is 5 + 8? 	== 	13 	RunAve=runAve: 24/25 96% 	Sat Jan 09 2021 20:27:34 GMT-0600 (Central Standard Time)
correct 	1.7secs 	What is 3 + 11? 	== 	14 	RunAve=runAve: 24/25 96% 	Sat Jan 09 2021 20:27:53 GMT-0600 (Central Standard Time)
correct 	1.8secs 	What is 7 + -3? 	== 	4 	RunAve=runAve: 24/25 96% 	Sat Jan 09 2021 20:28:13 GMT-0600 (Central Standard Time)
correct 	3.0secs 	What is 12 * 11? 	== 	132 	RunAve=runAve: 24/25 96% 	Sat Jan 09 2021 20:28:34 GMT-0600 (Central Standard Time)
correct 	1.6secs 	What is 88 / 8? 	== 	11 	RunAve=runAve: 24/25 96% 	Sat Jan 09 2021 20:28:53 GMT-0600 (Central Standard Time)
correct 	1.5secs 	What is 0 + 9? 	== 	9 	RunAve=runAve: 24/25 96% 	Sat Jan 09 2021 20:29:13 GMT-0600 (Central Standard Time)
correct 	1.8secs 	What is 7 * 10? 	== 	70 	RunAve=runAve: 24/25 96% 	Sat Jan 09 2021 20:29:33 GMT-0600 (Central Standard Time)
correct 	1.6secs 	What is 8 * 3? 	== 	24 	RunAve=runAve: 24/25 96% 	Sat Jan 09 2021 20:31:13 GMT-0600 (Central Standard Time)
correct 	1.6secs 	What is 10 * 4? 	== 	40 	RunAve=runAve: 24/25 96% 	Sat Jan 09 2021 20:33:02 GMT-0600 (Central Standard Time)
correct 	9.5secs 	What is 12 * 5? 	== 	60 	RunAve=runAve: 24/25 96% 	Sat Jan 09 2021 20:33:50 GMT-0600 (Central Standard Time)
correct 	4.5secs 	What is -12 * 12? 	== 	-144 	RunAve=runAve: 25/25 100% 	Sat Jan 09 2021 20:34:05 GMT-0600 (Central Standard Time)
correct 	1.7secs 	What is 12 * 0? 	== 	0 	RunAve=runAve: 25/25 100% 	Sat Jan 09 2021 20:34:28 GMT-0600 (Central Standard Time)
correct 	3.4secs 	What is -4 * -5? 	== 	20 	RunAve=runAve: 25/25 100% 	Sat Jan 09 2021 20:34:50 GMT-0600 (Central Standard Time)
correct 	1.8secs 	What is 0 * 11? 	== 	0 	RunAve=runAve: 25/25 100% 	Sat Jan 09 2021 20:35:12 GMT-0600 (Central Standard Time)
correct 	2.0secs 	What is 12 * 11? 	== 	132 	RunAve=runAve: 25/25 100% 	Sat Jan 09 2021 20:35:32 GMT-0600 (Central Standard Time)
